Frame,Leader,Follower,Top Left,Top Middle,Top Right,Middle Left,Middle Right,Bottom Left,Bottom Middle,Bottom Right
3,7,0,0,0,0,0,0,12,0,0
3,11,0,0,3,0,0,0,0,0,0
4,3,0,0,11,0,0,0,0,0,0
4,7,0,0,0,0,0,0,12,0,0
4,11,3,0,0,0,0,0,0,3,0
5,3,11,0,0,0,0,0,0,11,0
5,11,3,0,0,0,0,0,0,3,0
5,12,0,7,0,0,0,0,0,0,0
6,3,11,0,0,0,0,0,0,11,0
6,11,3,0,0,0,0,0,0,3,0
6,12,0,7,0,0,0,0,0,0,0
6,16,0,0,13,0,0,0,0,0,0
7,3,0,0,11,0,0,0,0,0,0
7,7,0,0,0,0,0,0,12,0,0
7,11,3,0,0,0,0,0,0,3,0
8,3,0,0,11,0,0,0,0,0,0
8,7,0,0,0,0,0,0,12,0,0
8,11,0,0,3,0,0,0,0,0,0
8,12,0,0,0,0,0,0,7,0,0
8,12,0,0,0,0,0,17,0,0,0
8,17,0,0,0,0,0,12,0,0,0
9,3,0,0,11,0,0,0,0,0,0
9,7,0,0,0,0,0,0,12,0,0
9,11,0,0,3,0,0,0,0,0,0
9,12,0,0,0,0,0,0,7,0,0
9,12,0,0,0,0,0,17,0,0,0
9,17,0,0,0,0,0,12,0,0,0
10,3,0,0,11,0,0,0,0,0,0
10,11,0,0,3,0,0,0,0,0,0
10,12,0,0,0,0,0,0,7,0,0
10,12,0,0,0,0,0,17,0,0,0
11,3,11,0,0,0,0,0,0,11,0
11,7,0,0,0,0,0,0,12,0,0
11,11,0,0,3,0,0,0,0,0,0
11,12,0,0,0,7,0,0,0,0,0
11,12,0,0,0,0,17,0,0,0,0
11,17,0,0,0,0,0,12,0,0,0
12,3,11,0,0,0,0,0,0,11,0
12,7,0,0,0,0,0,0,12,0,0
12,11,0,0,3,0,0,0,0,0,0
12,12,0,0,0,7,0,0,0,0,0
12,12,0,0,0,0,17,0,0,0,0
12,17,0,0,0,0,0,12,0,0,0
13,7,0,0,0,0,0,0,12,0,0
13,11,0,0,3,0,0,0,0,0,0
13,12,0,0,0,7,0,0,0,0,0
13,12,0,0,0,0,17,0,0,0,0
13,17,0,0,0,0,0,12,0,0,0
14,3,0,0,11,0,0,0,0,0,0
14,7,0,0,0,0,0,0,12,0,0
14,11,3,0,0,0,0,0,0,3,0
14,12,0,0,0,7,0,0,0,0,0
14,12,0,0,0,0,17,0,0,0,0
14,17,0,0,0,0,0,12,0,0,0
15,7,0,0,0,0,0,0,12,0,0
15,17,0,0,0,0,0,12,0,0,0
16,3,11,0,0,0,0,0,0,11,0
16,7,0,0,0,0,0,0,12,0,0
16,11,0,0,3,0,0,0,0,0,0
16,17,0,0,0,0,0,12,0,0,0
17,7,0,0,0,0,0,0,12,0,0
18,3,11,0,0,0,0,0,0,11,0
18,7,0,0,0,0,0,0,12,0,0
18,12,0,0,0,7,0,0,0,0,0
18,12,0,0,0,0,17,0,0,0,0
18,17,0,0,0,0,0,12,0,0,0
19,7,0,0,0,0,0,0,12,0,0
19,11,0,0,3,0,0,0,0,0,0
19,12,0,0,0,7,0,0,0,0,0
19,12,0,0,0,0,17,0,0,0,0
19,17,0,0,0,0,0,12,0,0,0
19,20,0,0,0,0,0,0,0,0,22
19,22,0,20,0,0,0,0,0,0,0
20,3,11,0,0,0,0,0,0,11,0
20,7,0,0,0,0,0,0,12,0,0
20,11,0,0,3,0,0,0,0,0,0
20,17,0,0,0,0,0,12,0,0,0
20,20,0,0,0,0,0,0,0,0,22
20,22,0,20,0,0,0,0,0,0,0
21,3,11,0,0,0,0,0,0,11,0
21,7,0,0,0,12,0,0,0,0,0
21,11,3,0,0,0,0,0,0,3,0
21,12,0,0,0,0,0,0,7,0,0
21,12,0,0,0,0,0,17,0,0,0
21,17,0,0,0,0,0,12,0,0,0
21,20,0,0,0,0,0,0,0,0,22
21,22,0,20,0,0,0,0,0,0,0
22,7,0,0,0,12,0,0,0,0,0
22,11,3,0,0,0,0,0,0,3,0
22,12,0,0,0,0,0,0,7,0,0
22,20,0,0,0,0,0,0,0,0,22
22,22,0,20,0,0,0,0,0,0,0
23,7,0,0,0,12,0,0,0,0,0
23,11,3,0,0,0,0,0,0,3,0
23,12,0,0,0,0,0,0,7,0,0
23,20,0,22,0,0,0,0,0,0,0
23,22,0,20,0,0,0,0,0,0,0
23,22,23,0,0,0,0,0,23,0,0
24,3,11,0,0,0,0,0,0,11,0
24,7,0,0,0,12,0,0,0,0,0
24,11,3,0,0,0,0,0,0,3,0
24,20,0,0,0,0,0,0,0,0,22
24,22,0,20,0,0,0,0,0,0,0
24,22,23,0,0,0,0,0,23,0,0
24,23,0,0,0,22,0,0,0,0,0
25,3,0,0,11,0,0,0,0,0,0
25,7,0,0,0,0,0,0,12,0,0
25,11,3,0,0,0,0,0,0,3,0
25,12,0,0,0,7,0,0,0,0,0
25,12,0,0,0,0,17,0,0,0,0
25,19,0,0,0,0,0,0,24,0,0
25,20,0,0,0,0,0,0,0,0,22
25,22,0,20,0,0,0,0,0,0,0
25,22,23,0,0,0,0,0,23,0,0
25,23,0,0,0,22,0,0,0,0,0
26,3,11,0,0,0,0,0,0,11,0
26,7,0,0,0,0,0,0,12,0,0
26,11,0,0,3,0,0,0,0,0,0
26,12,0,0,0,7,0,0,0,0,0
26,12,0,0,0,0,17,0,0,0,0
26,17,0,0,0,0,0,12,0,0,0
